method,budget_fraction,generator_gap_ratio,status,objective_normalized,label_component,generator_component,noise_component,active_clients,raw_clients,interior_clients,full_clients,mean_u_active,budget,full_budget,total_payment,budget_utilization,active_original_samples,synthetic_samples_proxy,active_indices,u,normalized_absolute_gap,solver_failures
three_state,0.04,0.4,ok,7.735985072826171,7.733178151533274,0.0,0.002806921292897905,1,1,0,0,0.0,0.15706666666666666,3.9266666666666663,0.0918888888888889,0.5850311262026033,4135,0.0,[0],"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.0,0
no_aigc,0.04,0.4,ok,7.735985072826171,7.733178151533274,0.0,0.002806921292897905,1,1,0,0,0.0,0.15706666666666666,3.9266666666666663,0.0918888888888889,0.5850311262026033,4135,0.0,[0],"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.0,0
continuous,0.06,0.4,ok,2.8163918172238978,2.4573087256022093,0.35641496973977216,0.0026681218819164763,2,0,2,0,0.2758941597374507,0.23559999999999998,3.9266666666666663,0.2356,1.0000000000000002,7184,2060.4230129367065,"[0, 3]","[0.28524439099540105, 0.0, 0.0, 0.2665439284795003, 0.0, 0.0]",4.440892098500626e-16,2
three_state,0.06,0.4,ok,4.70835205661897,4.705683934737053,0.0,0.0026681218819164763,2,2,0,0,0.0,0.23559999999999998,3.9266666666666663,0.15964444444444445,0.6776079984908508,7184,0.0,"[0, 3]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.0,0
no_aigc,0.06,0.4,ok,4.70835205661897,4.705683934737053,0.0,0.0026681218819164763,2,2,0,0,0.0,0.23559999999999998,3.9266666666666663,0.15964444444444445,0.6776079984908508,7184,0.0,"[0, 3]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.0,0
continuous,0.08,0.4,ok,2.3832297294336784,1.5082439298822738,0.872317677669488,0.0026681218819164763,2,0,2,0,0.43238095043968616,0.3141333333333333,3.9266666666666663,0.31413333333333326,0.9999999999999998,7184,3845.717168585237,"[0, 3]","[0.4418919642682913, 0.0, 0.0, 0.4228699366110811, 0.0, 0.0]",7.323031070427533e-13,0
three_state,0.08,0.4,ok,3.7890528505601884,3.7864259832029625,0.0,0.0026268673572258368,3,3,0,0,0.0,0.3141333333333333,3.9266666666666663,0.3035555555555556,0.9663271080928127,13660,0.0,"[0, 2, 3]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.0,0
no_aigc,0.08,0.4,ok,3.7890528505601884,3.7864259832029625,0.0,0.0026268673572258368,3,3,0,0,0.0,0.3141333333333333,3.9266666666666663,0.3035555555555556,0.9663271080928127,13660,0.0,"[0, 2, 3]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.0,0
continuous,0.1,0.4,ok,2.3376051113974214,1.1588969837230434,1.1760400057924614,0.0026681218819164763,2,0,2,0,0.5024797603321497,0.39266666666666666,3.9266666666666663,0.35752510228001355,0.9105053538540243,7184,4886.273544814485,"[0, 3]","[0.5105611986058518, 0.0, 0.0, 0.49439832205844764, 0.0, 0.0]",4.440892098500626e-16,2
three_state,0.1,0.4,ok,3.5260016478956984,3.5231947266028003,0.0,0.002806921292897905,1,1,0,0,0.0,0.39266666666666666,3.9266666666666663,0.35224444444444447,0.8970571590265989,15851,0.0,[5],"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.0,0
no_aigc,0.1,0.4,ok,3.5260016478956984,3.5231947266028003,0.0,0.002806921292897905,1,1,0,0,0.0,0.39266666666666666,3.9266666666666663,0.35224444444444447,0.8970571590265989,15851,0.0,[5],"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.0,0
continuous,0.15,0.4,ok,1.28785770800068,0.8594887343787764,0.42563892603424913,0.002730047587654491,2,0,2,0,0.2743349685696006,0.589,3.9266666666666663,0.589,1.0,18900,6259.771039595948,"[3, 5]","[0.0, 0.0, 0.0, 0.08219434016455394, 0.0, 0.4664755969746473]",8.01581023779363e-14,1
three_state,0.15,0.4,ok,1.6721117740623375,1.6694554929813537,0.0,0.0026562810809837864,3,3,0,0,0.0,0.589,3.9266666666666663,0.5639111111111111,0.9574042633465385,25376,0.0,"[2, 3, 5]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.0,0
no_aigc,0.15,0.4,ok,1.6721117740623375,1.6694554929813537,0.0,0.0026562810809837864,3,3,0,0,0.0,0.589,3.9266666666666663,0.5639111111111111,0.9574042633465385,25376,0.0,"[2, 3, 5]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.0,0
continuous,0.2,0.4,ok,0.9366752516323053,0.8687062174790886,0.06533422009164912,0.002634814061567497,3,0,3,0,0.12490639405262105,0.7853333333333333,3.9266666666666663,0.7853333333333333,1.0,31340,3319.5287290789674,"[1, 4, 5]","[0.0, 0.16514489462697735, 0.0, 0.0, 0.054378328031411946, 0.15519595949947382]",4.440892098500626e-16,0
three_state,0.2,0.4,ok,1.17069088174227,1.1680700981986476,0.0,0.0026207835436224095,4,4,0,0,0.0,0.7853333333333333,3.9266666666666663,0.7467555555555556,0.9508771929824562,33604,0.0,"[0, 1, 3, 5]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.0,0
no_aigc,0.2,0.4,ok,1.17069088174227,1.1680700981986476,0.0,0.0026207835436224095,4,4,0,0,0.0,0.7853333333333333,3.9266666666666663,0.7467555555555556,0.9508771929824562,33604,0.0,"[0, 1, 3, 5]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.0,0
continuous,0.3,0.4,ok,0.6857802535496359,0.5964913580790816,0.08670216251042852,0.002586732960125739,6,0,6,0,0.16722506982865223,1.178,3.9266666666666663,1.178,1.0,45000,5653.1141542413025,"[0, 1, 2, 3, 4, 5]","[0.14980190859742404, 0.14190187497844278, 0.22508256118969808, 0.1877510350954434, 0.21699266783601823, 0.08182037127488694]",2.886579864025407e-15,0
three_state,0.3,0.4,ok,0.8530094308387358,0.85042269787861,0.0,0.002586732960125739,6,6,0,0,0.0,1.178,3.9266666666666663,1.0,0.8488964346349746,45000,0.0,"[0, 1, 2, 3, 4, 5]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.0,0
no_aigc,0.3,0.4,ok,0.8530094308387358,0.85042269787861,0.0,0.002586732960125739,6,6,0,0,0.0,1.178,3.9266666666666663,1.0,0.8488964346349746,45000,0.0,"[0, 1, 2, 3, 4, 5]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.0,0
